City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
314,sattahip,12.6664,100.9007,303.99,94,20,1.03,TH,1682614933
315,st. john's,47.5649,-52.7093,279.35,79,100,6.17,CA,1682614824
316,san antonio de pale,-1.4014,5.6325,301.6,70,98,2.0,GQ,1682614934
317,novyy urgal,51.0736,132.5642,271.38,75,1,0.46,RU,1682614936
318,cu chi,10.9667,106.4667,302.16,71,53,5.72,VN,1682614936
319,aldan,58.6031,125.3894,266.34,89,17,1.63,RU,1682614937
320,recani,31.2846,-4.2688,308.2,8,87,3.85,MA,1682614938
321,nuuk,64.1835,-51.7216,275.86,80,20,10.29,GL,1682614939
322,kalmunai,7.4167,81.8167,300.84,79,94,2.16,LK,1682614940
323,kingston,17.997,-76.7936,301.62,77,66,4.02,JM,1682614924
324,sinabang,2.4803,96.3801,299.35,88,100,2.68,ID,1682614942
325,glace bay,46.1969,-59.957,283.74,65,75,3.13,CA,1682614942
326,bima,-8.4667,118.7167,298.38,94,100,0.88,ID,1682614943
327,argo,37.6333,22.7333,291.36,60,75,2.65,GR,1682614943
328,el calafate,-50.3408,-72.2768,280.29,73,35,3.51,AR,1682614945
329,porto novo,6.4965,2.6036,299.05,71,100,4.34,BJ,1682614945
330,machico,32.7,-16.7667,299.26,70,20,3.09,PT,1682614946
331,klyuchi,52.2667,79.1667,289.68,45,100,3.92,RU,1682614946
332,luis correia,-2.8792,-41.6669,295.98,94,100,2.51,BR,1682614947
333,freetown,8.484,-13.2299,301.73,61,7,4.66,SL,1682614948
334,happy valley-goose bay,53.3168,-60.3315,281.32,57,40,4.63,CA,1682614949
335,guarapari,-20.6667,-40.4975,304.2,67,12,2.78,BR,1682614949
336,san pedro,14.35,121.0167,301.12,73,20,3.6,PH,1682614950
337,koyulhisar,40.3025,37.8311,284.8,87,100,1.4,TR,1682614950
338,aasiaat,68.7098,-52.8699,272.15,86,92,3.53,GL,1682614951
339,tuy hoa,13.0833,109.3,297.5,94,44,1.39,VN,1682614952
340,selsey,50.735,-0.7898,285.6,96,100,2.68,GB,1682614952
341,saimbeyli,37.9863,36.0906,281.83,94,100,1.93,TR,1682614953
342,cruz bay,18.3313,-64.7937,301.57,74,67,2.85,VI,1682614954
343,jieshi,22.8134,115.8257,294.01,83,50,4.88,CN,1682614955
344,deqen,29.9618,90.7188,279.92,44,100,2.67,CN,1682614956
345,saint croix,17.7397,-64.7388,304.24,69,62,1.79,VI,1682614956
346,masterton,-40.9597,175.6575,281.5,88,61,0.98,NZ,1682614957
347,moengo,5.6167,-54.4,301.39,71,100,1.27,SR,1682614957
348,nikolayevsk-on-amure,53.1406,140.73,272.33,96,100,4.4,RU,1682614958
349,rikaze,29.25,88.8833,281.05,32,100,2.58,CN,1682614958
350,langepas,61.2544,75.2124,276.45,100,100,1.86,RU,1682614959
351,meadow lake,34.8014,-106.5436,291.8,34,26,3.33,US,1682614960
352,rio grande,-32.035,-52.0986,296.21,59,3,4.07,BR,1682614961
353,midvagur,62.0511,-7.1939,277.61,60,75,4.63,FO,1682614961
354,uliastay,47.7417,96.8444,268.95,52,33,0.13,MN,1682614962
355,constantia,44.1833,28.65,284.65,56,100,7.42,RO,1682614963
356,cestos city,5.46,-9.5828,301.72,74,80,3.04,LR,1682614963
357,kabalo,-6.05,26.9167,296.54,88,90,1.96,CD,1682614964
358,aflou,34.1128,2.1023,300.61,8,4,5.35,DZ,1682614965
